name,cik,year,month,day,tag
1210708_2004_10_28.txt,1210708,2004,10,28,233
351145_2004_07_29.txt,351145,2004,7,29,234
753048_2004_01_29.txt,753048,2004,1,29,235
868671_2004_04_29.txt,868671,2004,4,29,236
919015_2004_07_29.txt,919015,2004,7,29,237
922863_2004_03_29.txt,922863,2004,3,29,238
875159_2004_09_30.txt,875159,2004,9,30,239
1048477_2004_11_30.txt,1048477,2004,11,30,240
1016965_2004_03_31.txt,1016965,2004,3,31,241
1270985_2004_03_31.txt,1270985,2004,3,31,242
12659_2005_08_01.txt,12659,2005,8,1,243
914373_2005_03_01.txt,914373,2005,3,1,244
915471_2005_04_01.txt,915471,2005,4,1,245
62996_2005_08_02.txt,62996,2005,8,2,246
1046183_2005_05_02.txt,1046183,2005,5,2,247
1067419_2005_02_02.txt,1067419,2005,2,2,248
1283140_2005_08_02.txt,1283140,2005,8,2,249
28452_2005_10_03.txt,28452,2005,10,3,250
95052_2005_11_03.txt,95052,2005,11,3,251
729922_2005_11_03.txt,729922,2005,11,3,252
1169055_2005_06_03.txt,1169055,2005,6,3,253
1323715_2005_11_03.txt,1323715,2005,11,3,254
1273813_2005_11_04.txt,1273813,2005,11,4,255
899866_2005_10_05.txt,899866,2005,10,5,256
1267097_2005_05_05.txt,1267097,2005,5,5,257
907254_2005_05_06.txt,907254,2005,5,6,258
798949_2005_10_07.txt,798949,2005,10,7,259
1040416_2005_06_07.txt,1040416,2005,6,7,260
1091284_2005_04_07.txt,1091284,2005,4,7,261
1139650_2005_07_07.txt,1139650,2005,7,7,262
1017137_2005_02_08.txt,1017137,2005,2,8,263
67618_2005_11_09.txt,67618,2005,11,9,264
704415_2005_03_09.txt,704415,2005,3,9,265
32878_2005_11_10.txt,32878,2005,11,10,266
790703_2005_03_10.txt,790703,2005,3,10,267
1100962_2005_02_10.txt,1100962,2005,2,10,268
733269_2005_07_12.txt,733269,2005,7,12,269
754673_2005_04_12.txt,754673,2005,4,12,270
1114241_2005_09_13.txt,1114241,2005,9,13,271
805419_2005_01_14.txt,805419,2005,1,14,272
812076_2005_09_14.txt,812076,2005,9,14,273
924940_2005_09_14.txt,924940,2005,9,14,274
1001907_2005_11_14.txt,1001907,2005,11,14,275
1034669_2005_02_14.txt,1034669,2005,2,14,276
355948_2005_02_15.txt,355948,2005,2,15,277
1045150_2005_09_15.txt,1045150,2005,9,15,278
1067294_2005_08_15.txt,1067294,2005,8,15,279
1142380_2005_03_15.txt,1142380,2005,3,15,280
1283140_2005_06_15.txt,1283140,2005,6,15,281
102037_2005_12_16.txt,102037,2005,12,16,282
847431_2005_03_16.txt,847431,2005,3,16,283
877355_2005_02_16.txt,877355,2005,2,16,284
1029407_2005_11_16.txt,1029407,2005,11,16,285
1123580_2005_12_16.txt,1123580,2005,12,16,286
842635_2005_01_18.txt,842635,2005,1,18,287
882873_2005_08_18.txt,882873,2005,8,18,288
769207_2005_10_19.txt,769207,2005,10,19,289
831327_2005_10_19.txt,831327,2005,10,19,290
886744_2005_07_19.txt,886744,2005,7,19,291
918965_2005_04_19.txt,918965,2005,4,19,292
840007_2005_01_20.txt,840007,2005,1,20,293
1082564_2005_12_20.txt,1082564,2005,12,20,294
917251_2005_01_21.txt,917251,2005,1,21,295
1088653_2005_11_21.txt,1088653,2005,11,21,296
720005_2005_02_22.txt,720005,2005,2,22,297
849116_2005_04_22.txt,849116,2005,4,22,298
1006837_2005_02_22.txt,1006837,2005,2,22,299
1099066_2005_08_22.txt,1099066,2005,8,22,300
1168230_2005_02_22.txt,1168230,2005,2,22,301
1267097_2005_03_22.txt,1267097,2005,3,22,302
923139_2005_12_23.txt,923139,2005,12,23,303
1053361_2005_02_24.txt,1053361,2005,2,24,304
1097081_2005_10_24.txt,1097081,2005,10,24,305
101462_2005_08_25.txt,101462,2005,8,25,306
804154_2005_08_25.txt,804154,2005,8,25,307
723612_2005_01_26.txt,723612,2005,1,26,308
897429_2005_05_26.txt,897429,2005,5,26,309
1037540_2005_10_26.txt,1037540,2005,10,26,310
59255_2005_05_27.txt,59255,2005,5,27,311
789019_2005_10_27.txt,789019,2005,10,27,312
6769_2005_07_28.txt,6769,2005,7,28,313
740260_2005_10_28.txt,740260,2005,10,28,314
790549_2005_01_28.txt,790549,2005,1,28,315
1007228_2005_04_28.txt,1007228,2005,4,28,316
1016281_2005_01_28.txt,1016281,2005,1,28,317
1047170_2005_01_28.txt,1047170,2005,1,28,318
1102266_2005_01_28.txt,1102266,2005,1,28,319
943819_2005_12_29.txt,943819,2005,12,29,320
726854_2005_06_30.txt,726854,2005,6,30,321
820081_2005_09_30.txt,820081,2005,9,30,322
85408_2005_08_31.txt,85408,2005,8,31,323
805419_2005_08_31.txt,805419,2005,8,31,324
915840_2005_10_31.txt,915840,2005,10,31,325
1003961_2005_01_31.txt,1003961,2005,1,31,326
94538_2006_11_01.txt,94538,2006,11,1,327
320186_2006_08_01.txt,320186,2006,8,1,328
944695_2006_05_02.txt,944695,2006,5,2,329
1076394_2006_02_02.txt,1076394,2006,2,2,330
1328910_2006_11_02.txt,1328910,2006,11,2,331
22252_2006_05_03.txt,22252,2006,5,3,332
770403_2006_05_03.txt,770403,2006,5,3,333
925043_2006_08_03.txt,925043,2006,8,3,334
1138812_2006_05_03.txt,1138812,2006,5,3,335
1276721_2006_07_03.txt,1276721,2006,7,3,336
21212_2006_04_04.txt,21212,2006,4,4,337
730255_2006_01_05.txt,730255,2006,1,5,338
821002_2006_06_06.txt,821002,2006,6,6,339
832767_2006_11_06.txt,832767,2006,11,6,340
1051009_2006_07_06.txt,1051009,2006,7,6,341
37785_2006_02_07.txt,37785,2006,2,7,342
725058_2006_08_07.txt,725058,2006,8,7,343
829608_2006_12_07.txt,829608,2006,12,7,344
1125532_2006_08_07.txt,1125532,2006,8,7,345
99047_2006_09_08.txt,99047,2006,9,8,346
746782_2006_08_08.txt,746782,2006,8,8,347
1013871_2006_02_08.txt,1013871,2006,2,8,348
1096325_2006_02_08.txt,1096325,2006,2,8,349
1261482_2006_11_08.txt,1261482,2006,11,8,350
1316898_2006_11_08.txt,1316898,2006,11,8,351
828747_2006_08_09.txt,828747,2006,8,9,352
934648_2006_08_09.txt,934648,2006,8,9,353
1138400_2006_08_09.txt,1138400,2006,8,9,354
1140415_2006_05_09.txt,1140415,2006,5,9,355
1182129_2006_05_09.txt,1182129,2006,5,9,356
1183941_2006_02_09.txt,1183941,2006,2,9,357
1298978_2006_05_09.txt,1298978,2006,5,9,358
1304901_2006_11_09.txt,1304901,2006,11,9,359
701288_2006_08_10.txt,701288,2006,8,10,360
854860_2006_08_10.txt,854860,2006,8,10,361
1094831_2006_05_10.txt,1094831,2006,5,10,362
1084544_2006_04_11.txt,1084544,2006,4,11,363
1302028_2006_10_11.txt,1302028,2006,10,11,364
743316_2006_11_13.txt,743316,2006,11,13,365
799292_2006_11_13.txt,799292,2006,11,13,366
912365_2006_09_13.txt,912365,2006,9,13,367
1357335_2006_12_13.txt,1357335,2006,12,13,368
781891_2006_06_14.txt,781891,2006,6,14,369
1039726_2006_11_14.txt,1039726,2006,11,14,370
1127393_2006_12_14.txt,1127393,2006,12,14,371
1136294_2006_03_14.txt,1136294,2006,3,14,372
842635_2006_12_15.txt,842635,2006,12,15,373
1261734_2006_12_15.txt,1261734,2006,12,15,374
69680_2006_03_16.txt,69680,2006,3,16,375
718413_2006_03_16.txt,718413,2006,3,16,376
1303565_2006_11_17.txt,1303565,2006,11,17,377
1100885_2006_07_18.txt,1100885,2006,7,18,378
1172358_2006_01_18.txt,1172358,2006,1,18,379
1267097_2006_01_18.txt,1267097,2006,1,18,380
922204_2006_09_19.txt,922204,2006,9,19,381
1060021_2006_01_19.txt,1060021,2006,1,19,382
1206264_2006_10_19.txt,1206264,2006,10,19,383
1309710_2006_12_19.txt,1309710,2006,12,19,384
48898_2006_04_20.txt,48898,2006,4,20,385
91576_2006_01_20.txt,91576,2006,1,20,386
1096050_2006_06_20.txt,1096050,2006,6,20,387
1282977_2006_04_21.txt,1282977,2006,4,21,388
1057222_2006_05_23.txt,1057222,2006,5,23,389
1365135_2006_10_23.txt,1365135,2006,10,23,390
99047_2006_10_24.txt,99047,2006,10,24,391
911160_2006_01_24.txt,911160,2006,1,24,392
1042821_2006_10_24.txt,1042821,2006,10,24,393
746782_2006_05_25.txt,746782,2006,5,25,394
774569_2006_08_25.txt,774569,2006,8,25,395
866829_2006_01_25.txt,866829,2006,1,25,396
842635_2006_01_26.txt,842635,2006,1,26,397
1000697_2006_04_26.txt,1000697,2006,4,26,398
1090727_2006_07_26.txt,1090727,2006,7,26,399
1130626_2006_01_26.txt,1130626,2006,1,26,400
2135_2006_11_27.txt,2135,2006,11,27,401
740260_2006_10_27.txt,740260,2006,10,27,402
